Parameter,Value,Run,SheepLeft
Cohesion,0.0,1,97
Cohesion,0.0,2,98
Cohesion,0.0,3,100
Cohesion,0.0,4,99
Cohesion,0.0,5,99
Cohesion,0.5,1,99
Cohesion,0.5,2,100
Cohesion,0.5,3,98
Cohesion,0.5,4,98
Cohesion,0.5,5,100
Cohesion,1.0,1,100
Cohesion,1.0,2,100
Cohesion,1.0,3,95
Cohesion,1.0,4,99
Cohesion,1.0,5,98
Cohesion,1.5,1,99
Cohesion,1.5,2,100
Cohesion,1.5,3,98
Cohesion,1.5,4,99
Cohesion,1.5,5,100
Cohesion,2.0,1,99
Cohesion,2.0,2,98
Cohesion,2.0,3,99
Cohesion,2.0,4,100
Cohesion,2.0,5,99
Separation,0.0,1,99
Separation,0.0,2,97
Separation,0.0,3,98
Separation,0.0,4,100
Separation,0.0,5,99
Separation,0.75,1,99
Separation,0.75,2,98
Separation,0.75,3,100
Separation,0.75,4,97
Separation,0.75,5,96
Separation,1.5,1,100
Separation,1.5,2,97
Separation,1.5,3,97
Separation,1.5,4,99
Separation,1.5,5,98
Separation,2.25,1,100
Separation,2.25,2,97
Separation,2.25,3,98
Separation,2.25,4,99
Separation,2.25,5,96
Separation,3.0,1,99
Separation,3.0,2,98
Separation,3.0,3,98
Separation,3.0,4,99
Separation,3.0,5,99
Defend,0.0,1,94
Defend,0.0,2,97
Defend,0.0,3,96
Defend,0.0,4,97
Defend,0.0,5,98
Defend,0.0,6,98
Defend,1.5,1,99
Defend,1.5,2,100
Defend,1.5,3,98
Defend,1.5,4,98
Defend,1.5,5,99
Defend,1.5,6,99
Defend,3.0,1,100
Defend,3.0,2,97
Defend,3.0,3,99
Defend,3.0,4,97
Defend,3.0,5,97
Defend,3.0,6,97
Defend,4.5,1,99
Defend,4.5,2,100
Defend,4.5,3,98
Defend,4.5,4,98
Defend,4.5,5,100
Defend,4.5,6,97
Defend,6.0,1,100
Defend,6.0,2,98
Defend,6.0,3,97
Defend,6.0,4,97
Defend,6.0,5,100
Defend,6.0,6,98
